UserSymbol;ProviderSymbol;ProviderCurrency
ENEL;ENEL.MI;EUR
SYV;SYV.F;EUR
EAM;A2A.MI;EUR
VWSA;VWSB.CO;DKK
ASML;ASML.AS;EUR
BY6;1211.HK;HKD
6TU;EU.V;CAD
ELE;ELE.MC;EUR
ENG;ENG.WA;PLN
IBE1;IBE.MC;EUR
ILLM;ILLM.V;CAD
KEE;6861.T;EUR
KDIC;268.HK;EUR
1024;1024.HK;HKD
NTGY;NTGY.MC;EUR
D2G;ORSTED.CO;EUR
OX2;OX2.ST;SEK
ONT;ONT.L;GBP
PUR;PDN.AX;EUR
PEAB B;PEABB.ST;SEK
QNC;QNC.V;CAD
RRU;RR.L;GBP
RW4;SLX.AX;EUR
1T5;TPE.F;EUR
WIHN;WIHN.SW;CHF
YCA;YCA.L;GBP
7FL;7FL.F;EUR
ZMK;ZMK.F;EUR
SGML;SGML;USD
SOPH;SOPH;USD
SYM;SYM;USD
RDW;RDW;USD
